wicket_number,fallen_score,fallen_over,batsmen,team,match_name,innings,scorecard_id
10,114,16.5,Karishma Thapa,Sudur P WU19,2nd-Match,1st,1420189
3,79,15.3,Pratima Sah,KM-XIW U19,1st-Match,1st,1420188
10,53,14.5,Supriya Budhamagar,Lumbini WU19,1st-Match,1st,1420188
8,124,19.6,Sonam,Bhutan Women,8th-Match,1st,1419913
10,30,18.1,Sumayya Abdul,Maldives Women,8th-Match,1st,1419913
10,61,17.1,Sana Butt,Bahrain Women,7th-Match,1st,1419912
3,53,8.2,Aysha,Qatar Women,7th-Match,1st,1419912
4,124,19.1,Ahilya Chandel,Japan Women,6th-Match,1st,1419911
5,113,19.3,Nitya Joshi,Oman Women,6th-Match,1st,1419911
6,74,18.1,Devika Galia,Singapore Women,5th-Match,1st,1419910
8,87,19.2,Iqra Sahar,Hong Kong Women,4th-Match,1st,1419909
2,87,12.5,Indu Barma,Nepal Women,4th-Match,1st,1419909
7,76,19.3,Andriani Andriani,Indonesia Women,3rd-Match,1st,1419908
4,20,5.1,Wan Julia,Malaysia Women,3rd-Match,1st,1419908
1,68,10.2,Esha Oza,United Arab Emirates Women,2nd-Match,1st,1419907
10,34,17.5,Xu Qian,China Women,2nd-Match,1st,1419907
10,32,16.4,Zin Kyaw,Myanmar Women,1st-Match,1st,1419906
9,277,49.6,Kim Garth,Australia Women,3rd-ODI,1st,1375874
10,127,24.3,Ayanda Hlubi,South Africa Women,3rd-ODI,1st,1375874
9,285,49.6,Shreyas Movva,Canada,2nd-ODI,1st,1420221
6,267,41.5,Pawan Sarraf,Nepal,2nd-ODI,1st,1420221
10,273,49.3,Angus McKenzie,Canterbury,24th-match,1st,1391894
2,24,7.2,Tim Seifert,Northern Districts,24th-match,1st,1391894
10,226,44.4,Jacob Duffy,Otago,23rd-match,1st,1391893
10,211,48.1,Ben Sears,Wellington,23rd-match,1st,1391893
10,233,49.1,Angus Olliver,Auckland,22nd-match,1st,1391892
4,221,46.4,Josh Clarkson,Central Districts,22nd-match,1st,1391892
10,69,32.1,Sintu Majeza,South Western Districts,17th-Match,1st,1394675
10,214,56.2,Nhlakanipho Mpungose,Knights,17th-Match,1st,1394675
10,273,70.2,Thomas Kaber,South Western Districts,17th-Match,2nd,1394675
1,106,15.3,Jacques Snyman,Knights,17th-Match,2nd,1394675
8,344,72.2,Akeem Jordan,Barbados,2nd-Match,1st,1419860
10,185,78.3,Zishan Motara,Comb C&C,2nd-Match,1st,1419860
10,193,66.5,Demario Richards,Barbados,2nd-Match,2nd,1419860
10,137,54.1,Jeremiah Louis,Leeward Islands,3rd-Match,1st,1419861
10,177,47.2,Joshua Bishop,West Indies Academy,3rd-Match,1st,1419861
10,232,87.4,Javier Spencer,Leeward Islands,3rd-Match,2nd,1419861
5,127,26.6,Nyeem Young,West Indies Academy,3rd-Match,2nd,1419861
7,165,19.2,Michael Jones,Desert Vipers,27th-Match,1st,1406915
5,151,17.6,Dasun Shanaka,Dubai Capitals,27th-Match,1st,1406915
4,143,16.6,Andre McCarthy,Durdanto Dhaka,26th-Match,1st,1412299
6,174,19.2,Jaker Ali,Comilla Victorians,26th-Match,1st,1412299
3,54,8.5,Mahmudul Hasan Joy,Khulna Tigers,25th-Match,1st,1412298
5,135,17.6,Harry Tector,Sylhet Strikers,25th-Match,1st,1412298
3,345,47.1,Sadeera Samarawickrama,Sri Lanka,1st-ODI,1st,1416074
6,297,45.2,Mohammad Nabi,Afghanistan,1st-ODI,1st,1416074
7,209,19.5,Sean Abbott,Australia,1st-T20I,1st,1375850
8,163,17.3,Romario Shepherd,West Indies,1st-T20I,1st,1375850
10,109,19.6,Ramesh Kalimuthu,Singapore,2nd-semi-final,1st,1418195
4,78,11.6,Luqman Butt,Cambodia,2nd-semi-final,1st,1418195
8,90,18.4,Charles Hinze,Japan,1st-semi-final,1st,1418194
5,184,35.4,Muhammad Amir,Malaysia,3rd-ODI,1st,1418538
8,265,38.5,Nasrulla Rana,Hong Kong,3rd-ODI,1st,1418538
10,159,40.6,Marquino Mindley,Jamaica,1st-Match,1st,1419859
10,341,105.2,Darius Martin,Windward Islands,1st-Match,1st,1419859
10,234,73.4,Romaine Morrison,Jamaica,1st-Match,2nd,1419859
1,4,2.3,Kimani Melius,Windward Islands,1st-Match,2nd,1419859
6,202,19.3,Dwaine Pretorius,Durban's Super Giants,2-Qualifier,1st,1392684
10,142,17.4,Nandre Burger,Joburg Super Kings,2-Qualifier,1st,1392684
7,136,17.5,Dominic Drakes,Gulf Giants,26th-Match,1st,1406914
7,127,18.3,Kieron Pollard,MI Emirates,26th-Match,1st,1406914
10,179,48.5,Ali Raza,Pakistan Under-19s,2nd-Semi-Final,1st,1399763
9,164,45.6,Mahli Beardman,Australia Under-19s,2nd-Semi-Final,1st,1399763
10,224,49.6,Lalit Rajbanshi,Nepal,1st-ODI,1st,1420220
10,217,47.5,Ishwarjot Sohi,Canada,1st-ODI,1st,1420220
10,150,35.3,Jack Wildermuth,Queensland,18th-Match,1st,1391818
5,149,26.5,Macalister Wright,Tasmania,18th-Match,1st,1391818
9,227,48.4,Jordan Buckingham,South Australia,17th-Match,1st,1391817
7,218,39.3,Fergus O'Neill,Victoria,17th-Match,1st,1391817
8,209,30.4,Dan Pascoe,Hong Kong,2nd-ODI,1st,1418537
10,119,25.6,Muhammad Wafiq,Malaysia,2nd-ODI,1st,1418537
